instance_id,method,hidden,success,expansions,runtime_sec,path_cost
1,classic,0,1,838,0.0044422149658203125,62.0
1,learned_h32,32,1,64,0.018941879272460938,62.0
1,learned_h64,64,1,69,0.01343083381652832,68.0
1,learned_h128,128,1,69,0.01630568504333496,62.0
2,classic,0,1,746,0.0027627944946289062,62.0
2,learned_h32,32,1,76,0.015543460845947266,70.0
2,learned_h64,64,1,78,0.014142990112304688,70.0
2,learned_h128,128,1,64,0.014016151428222656,62.0
3,classic,0,1,849,0.0034198760986328125,62.0
3,learned_h32,32,1,65,0.013816118240356445,62.0
3,learned_h64,64,1,63,0.018105030059814453,62.0
3,learned_h128,128,1,63,0.01514291763305664,62.0
4,classic,0,1,759,0.002915620803833008,62.0
4,learned_h32,32,1,65,0.013268709182739258,64.0
4,learned_h64,64,1,74,0.016148090362548828,64.0
4,learned_h128,128,1,67,0.014981746673583984,62.0
5,classic,0,1,677,0.0027189254760742188,62.0
5,learned_h32,32,1,63,0.013277769088745117,62.0
5,learned_h64,64,1,74,0.016248464584350586,66.0
5,learned_h128,128,1,63,0.013554573059082031,62.0
6,classic,0,1,764,0.003905773162841797,62.0
6,learned_h32,32,1,64,0.019452810287475586,62.0
6,learned_h64,64,1,73,0.037354469299316406,70.0
6,learned_h128,128,1,66,0.03303027153015137,64.0
7,classic,0,1,893,0.007318258285522461,62.0
7,learned_h32,32,1,70,0.036869049072265625,64.0
7,learned_h64,64,1,71,0.0198819637298584,66.0
7,learned_h128,128,1,69,0.030008316040039062,64.0
8,classic,0,1,805,0.0054340362548828125,62.0
8,learned_h32,32,1,63,0.029873371124267578,62.0
8,learned_h64,64,1,77,0.02723097801208496,68.0
8,learned_h128,128,1,63,0.0262148380279541,62.0
9,classic,0,1,746,0.0034151077270507812,62.0
9,learned_h32,32,1,63,0.02462625503540039,62.0
9,learned_h64,64,1,76,0.02881622314453125,70.0
9,learned_h128,128,1,66,0.042069196701049805,62.0
