instance_id,grid_type,method,success,expansions,runtime_sec,path_cost
1,open,classic,1,838,0.004773616790771484,62.0
1,open,learned,1,266,0.04427218437194824,62.0
1,open,uncertainty_k0,1,64,0.012619972229003906,62.0
1,open,uncertainty_k1,1,64,0.01644420623779297,62.0
1,open,uncertainty_k2,1,64,0.014759540557861328,62.0
1,open,uncertainty_k3,1,64,0.014759540557861328,62.0
1,open,online_TD,1,838,0.005414485931396484,62.0
2,open,classic,1,746,0.0028536319732666016,62.0
2,open,learned,1,290,0.04748201370239258,62.0
2,open,uncertainty_k0,1,65,0.013566017150878906,64.0
2,open,uncertainty_k1,1,65,0.01413416862487793,64.0
2,open,uncertainty_k2,1,65,0.01522970199584961,64.0
2,open,uncertainty_k3,1,65,0.012267589569091797,64.0
2,open,online_TD,1,746,0.005150556564331055,62.0
3,open,classic,1,849,0.0028662681579589844,62.0
3,open,learned,1,280,0.04766201972961426,62.0
3,open,uncertainty_k0,1,70,0.01715707778930664,68.0
3,open,uncertainty_k1,1,70,0.016029834747314453,68.0
3,open,uncertainty_k2,1,70,0.01398921012878418,68.0
3,open,uncertainty_k3,1,70,0.014561653137207031,68.0
3,open,online_TD,1,849,0.0072176456451416016,62.0
4,open,classic,1,759,0.0032210350036621094,62.0
4,open,learned,1,342,0.05339932441711426,62.0
4,open,uncertainty_k0,1,67,0.014800071716308594,64.0
4,open,uncertainty_k1,1,67,0.019204378128051758,64.0
4,open,uncertainty_k2,1,67,0.016209125518798828,64.0
4,open,uncertainty_k3,1,67,0.01673126220703125,64.0
4,open,online_TD,1,759,0.0053675174713134766,62.0
5,open,classic,1,677,0.0025947093963623047,62.0
5,open,learned,1,279,0.04709959030151367,62.0
5,open,uncertainty_k0,1,69,0.01461172103881836,66.0
5,open,uncertainty_k1,1,69,0.0135650634765625,66.0
5,open,uncertainty_k2,1,69,0.01606583595275879,66.0
5,open,uncertainty_k3,1,69,0.015496492385864258,66.0
5,open,online_TD,1,677,0.006099700927734375,62.0
6,open,classic,1,764,0.004538774490356445,62.0
6,open,learned,1,311,0.0440974235534668,62.0
6,open,uncertainty_k0,1,65,0.013047933578491211,62.0
6,open,uncertainty_k1,1,65,0.014301776885986328,62.0
6,open,uncertainty_k2,1,65,0.013509511947631836,62.0
6,open,uncertainty_k3,1,65,0.013383150100708008,62.0
6,open,online_TD,1,764,0.004929780960083008,62.0
7,open,classic,1,893,0.0036535263061523438,62.0
7,open,learned,1,251,0.04655098915100098,62.0
7,open,uncertainty_k0,1,67,0.016087055206298828,66.0
7,open,uncertainty_k1,1,67,0.012308835983276367,66.0
7,open,uncertainty_k2,1,67,0.012582778930664062,66.0
7,open,uncertainty_k3,1,67,0.012848854064941406,66.0
7,open,online_TD,1,893,0.006324052810668945,62.0
8,open,classic,1,805,0.0031824111938476562,62.0
8,open,learned,1,317,0.054953813552856445,62.0
8,open,uncertainty_k0,1,68,0.01687788963317871,66.0
8,open,uncertainty_k1,1,68,0.013706684112548828,66.0
8,open,uncertainty_k2,1,68,0.01604628562927246,66.0
8,open,uncertainty_k3,1,68,0.01665186882019043,66.0
8,open,online_TD,1,805,0.005147218704223633,62.0
9,open,classic,1,746,0.002557039260864258,62.0
9,open,learned,1,303,0.044353485107421875,62.0
9,open,uncertainty_k0,1,65,0.017029285430908203,64.0
9,open,uncertainty_k1,1,65,0.018044710159301758,64.0
9,open,uncertainty_k2,1,65,0.014267921447753906,64.0
9,open,uncertainty_k3,1,65,0.018238067626953125,64.0
9,open,online_TD,1,746,0.00487208366394043,62.0
10,open,classic,1,770,0.002507925033569336,62.0
10,open,learned,1,314,0.04804563522338867,62.0
10,open,uncertainty_k0,1,68,0.013307571411132812,66.0
10,open,uncertainty_k1,1,68,0.012753725051879883,66.0
10,open,uncertainty_k2,1,68,0.01883244514465332,66.0
10,open,uncertainty_k3,1,68,0.01356959342956543,66.0
10,open,online_TD,1,770,0.004729747772216797,62.0
11,open,classic,0,1,5.245208740234375e-06,inf
11,open,learned,0,1,0.00017642974853515625,inf
11,open,uncertainty_k0,0,1,0.00010824203491210938,inf
11,open,uncertainty_k1,0,1,9.584426879882812e-05,inf
11,open,uncertainty_k2,0,1,0.00014901161193847656,inf
11,open,uncertainty_k3,0,1,0.00011777877807617188,inf
11,open,online_TD,0,1,5.7220458984375e-06,inf
12,open,classic,1,786,0.0030295848846435547,62.0
12,open,learned,1,276,0.05181241035461426,62.0
12,open,uncertainty_k0,1,65,0.015306949615478516,64.0
12,open,uncertainty_k1,1,65,0.015523195266723633,64.0
12,open,uncertainty_k2,1,65,0.016039371490478516,64.0
12,open,uncertainty_k3,1,65,0.01444554328918457,64.0
12,open,online_TD,1,786,0.00571894645690918,62.0
13,open,classic,1,884,0.003413677215576172,62.0
13,open,learned,1,229,0.04115152359008789,62.0
13,open,uncertainty_k0,1,71,0.015317201614379883,68.0
13,open,uncertainty_k1,1,71,0.017288684844970703,68.0
13,open,uncertainty_k2,1,71,0.014193058013916016,68.0
13,open,uncertainty_k3,1,71,0.013586759567260742,68.0
13,open,online_TD,1,884,0.005493879318237305,62.0
14,open,classic,1,746,0.0025064945220947266,62.0
14,open,learned,1,273,0.04209446907043457,62.0
14,open,uncertainty_k0,1,68,0.015634775161743164,64.0
14,open,uncertainty_k1,1,68,0.017543792724609375,64.0
14,open,uncertainty_k2,1,68,0.014624595642089844,64.0
14,open,uncertainty_k3,1,68,0.015694379806518555,64.0
14,open,online_TD,1,746,0.004669189453125,62.0
15,open,classic,1,740,0.0025000572204589844,62.0
15,open,learned,1,345,0.05304431915283203,62.0
15,open,uncertainty_k0,1,69,0.014341354370117188,66.0
15,open,uncertainty_k1,1,69,0.01754450798034668,66.0
15,open,uncertainty_k2,1,69,0.016036033630371094,66.0
15,open,uncertainty_k3,1,69,0.013653993606567383,66.0
15,open,online_TD,1,740,0.0046176910400390625,62.0
16,open,classic,1,799,0.002832174301147461,62.0
16,open,learned,1,336,0.055382490158081055,62.0
16,open,uncertainty_k0,1,70,0.014734506607055664,66.0
16,open,uncertainty_k1,1,70,0.014761209487915039,66.0
16,open,uncertainty_k2,1,70,0.014806270599365234,66.0
16,open,uncertainty_k3,1,70,0.013339042663574219,66.0
16,open,online_TD,1,799,0.005605936050415039,62.0
17,open,classic,1,860,0.0035996437072753906,62.0
17,open,learned,1,311,0.048613548278808594,62.0
17,open,uncertainty_k0,1,66,0.014605283737182617,64.0
17,open,uncertainty_k1,1,66,0.015128850936889648,64.0
17,open,uncertainty_k2,1,66,0.014363765716552734,64.0
17,open,uncertainty_k3,1,66,0.012726306915283203,64.0
17,open,online_TD,1,860,0.0054836273193359375,62.0
18,open,classic,1,856,0.004280805587768555,62.0
18,open,learned,1,328,0.05348062515258789,62.0
18,open,uncertainty_k0,1,67,0.01530909538269043,64.0
18,open,uncertainty_k1,1,67,0.014026403427124023,64.0
18,open,uncertainty_k2,1,67,0.01272273063659668,64.0
18,open,uncertainty_k3,1,67,0.013576269149780273,64.0
18,open,online_TD,1,856,0.00603175163269043,62.0
19,open,classic,1,848,0.004044055938720703,62.0
19,open,learned,1,326,0.05254697799682617,62.0
19,open,uncertainty_k0,1,67,0.012649059295654297,66.0
19,open,uncertainty_k1,1,67,0.013061285018920898,66.0
19,open,uncertainty_k2,1,67,0.0137481689453125,66.0
19,open,uncertainty_k3,1,67,0.013893842697143555,66.0
19,open,online_TD,1,848,0.006338357925415039,62.0
20,open,classic,1,799,0.003253936767578125,62.0
20,open,learned,1,309,0.05273795127868652,62.0
20,open,uncertainty_k0,1,65,0.014339685440063477,62.0
20,open,uncertainty_k1,1,65,0.013623952865600586,62.0
20,open,uncertainty_k2,1,65,0.013638496398925781,62.0
20,open,uncertainty_k3,1,65,0.016414642333984375,62.0
20,open,online_TD,1,799,0.005763053894042969,62.0
21,open,classic,1,803,0.005365133285522461,62.0
21,open,learned,1,296,0.04555845260620117,62.0
21,open,uncertainty_k0,1,65,0.012952566146850586,64.0
21,open,uncertainty_k1,1,65,0.015271663665771484,64.0
21,open,uncertainty_k2,1,65,0.017334461212158203,64.0
21,open,uncertainty_k3,1,65,0.03259563446044922,64.0
21,open,online_TD,1,803,0.009456396102905273,62.0
22,open,classic,1,877,0.004096269607543945,62.0
22,open,learned,1,357,0.07052445411682129,62.0
22,open,uncertainty_k0,1,65,0.01965188980102539,64.0
22,open,uncertainty_k1,1,65,0.018291473388671875,64.0
22,open,uncertainty_k2,1,65,0.02073979377746582,64.0
22,open,uncertainty_k3,1,65,0.016839981079101562,64.0
22,open,online_TD,1,877,0.008200883865356445,62.0
23,open,classic,1,770,0.003622770309448242,62.0
23,open,learned,1,343,0.07862496376037598,62.0
23,open,uncertainty_k0,1,80,0.018337488174438477,70.0
23,open,uncertainty_k1,1,80,0.019013404846191406,70.0
23,open,uncertainty_k2,1,80,0.02366495132446289,70.0
23,open,uncertainty_k3,1,80,0.027856111526489258,70.0
23,open,online_TD,1,770,0.005856513977050781,62.0
