instance_id,grid_type,method,success,expansions,runtime_sec,path_cost
1,open,classic,1,838,0.003161907196044922,62.0
1,open,residual_learned,1,179,0.04228043556213379,62.0
2,open,classic,1,746,0.0028085708618164062,62.0
2,open,residual_learned,1,332,0.0618741512298584,62.0
3,open,classic,1,849,0.00341796875,62.0
3,open,residual_learned,1,182,0.037145137786865234,62.0
4,open,classic,1,759,0.002503633499145508,62.0
4,open,residual_learned,1,213,0.04313302040100098,62.0
5,open,classic,1,677,0.002180814743041992,62.0
5,open,residual_learned,1,140,0.03357815742492676,62.0
6,open,classic,1,764,0.0027937889099121094,62.0
6,open,residual_learned,1,185,0.03422284126281738,62.0
7,open,classic,1,893,0.003330707550048828,62.0
7,open,residual_learned,1,198,0.036482810974121094,62.0
8,open,classic,1,805,0.0031766891479492188,62.0
8,open,residual_learned,1,133,0.029552698135375977,62.0
9,open,classic,1,746,0.002670764923095703,62.0
9,open,residual_learned,1,169,0.04082036018371582,62.0
10,open,classic,1,770,0.003782510757446289,62.0
10,open,residual_learned,1,184,0.047536373138427734,62.0
11,open,classic,0,1,1.0967254638671875e-05,inf
11,open,residual_learned,0,1,0.00025272369384765625,inf
12,open,classic,1,786,0.003877401351928711,62.0
12,open,residual_learned,1,190,0.059912919998168945,62.0
13,open,classic,1,884,0.005155324935913086,62.0
13,open,residual_learned,1,156,0.03936004638671875,62.0
14,open,classic,1,746,0.002885103225708008,62.0
14,open,residual_learned,1,180,0.03167247772216797,62.0
15,open,classic,1,740,0.002440929412841797,62.0
15,open,residual_learned,1,126,0.025727033615112305,62.0
16,open,classic,1,799,0.002714872360229492,62.0
16,open,residual_learned,1,160,0.03147625923156738,62.0
17,open,classic,1,860,0.0026917457580566406,62.0
17,open,residual_learned,1,183,0.03573727607727051,62.0
18,open,classic,1,856,0.003087759017944336,62.0
18,open,residual_learned,1,221,0.04534721374511719,62.0
19,open,classic,1,848,0.0028226375579833984,62.0
19,open,residual_learned,1,193,0.03175473213195801,62.0
20,open,classic,1,799,0.002561330795288086,62.0
20,open,residual_learned,1,206,0.034482717514038086,62.0
21,open,classic,1,803,0.002511262893676758,62.0
21,open,residual_learned,1,193,0.03548717498779297,62.0
22,open,classic,1,877,0.003996372222900391,62.0
22,open,residual_learned,1,168,0.03607058525085449,62.0
23,open,classic,1,770,0.0037686824798583984,62.0
23,open,residual_learned,1,192,0.03799247741699219,62.0
24,open,classic,1,805,0.004040241241455078,62.0
24,open,residual_learned,1,186,0.04585552215576172,62.0
25,open,classic,1,819,0.0037970542907714844,62.0
25,open,residual_learned,1,180,0.044615983963012695,62.0
26,open,classic,1,815,0.0032410621643066406,62.0
26,open,residual_learned,1,206,0.04020810127258301,62.0
27,open,classic,1,883,0.0028162002563476562,62.0
27,open,residual_learned,1,166,0.030003786087036133,62.0
28,open,classic,1,825,0.003450632095336914,62.0
28,open,residual_learned,1,177,0.03924202919006348,62.0
29,open,classic,1,773,0.002768993377685547,62.0
29,open,residual_learned,1,174,0.04271411895751953,62.0
30,open,classic,1,837,0.003391265869140625,62.0
30,open,residual_learned,1,151,0.04227256774902344,62.0
31,open,classic,1,846,0.004148006439208984,62.0
31,open,residual_learned,1,183,0.03628253936767578,62.0
32,open,classic,1,838,0.003110647201538086,62.0
32,open,residual_learned,1,215,0.04126429557800293,62.0
33,open,classic,1,868,0.0031669139862060547,62.0
33,open,residual_learned,1,195,0.0380406379699707,62.0
34,open,classic,1,806,0.0036935806274414062,62.0
34,open,residual_learned,1,188,0.036116600036621094,62.0
35,open,classic,1,709,0.003520965576171875,62.0
35,open,residual_learned,1,169,0.03078937530517578,62.0
36,open,classic,1,861,0.002794027328491211,62.0
36,open,residual_learned,1,135,0.02440333366394043,62.0
37,open,classic,1,821,0.003185272216796875,62.0
37,open,residual_learned,1,164,0.027465343475341797,62.0
38,open,classic,1,806,0.0025365352630615234,62.0
38,open,residual_learned,1,203,0.0402376651763916,62.0
39,open,classic,1,866,0.00292205810546875,62.0
39,open,residual_learned,1,199,0.04216313362121582,62.0
40,open,classic,1,921,0.004062652587890625,62.0
40,open,residual_learned,1,195,0.03360295295715332,62.0
41,open,classic,1,890,0.0032563209533691406,62.0
41,open,residual_learned,1,188,0.03941965103149414,62.0
42,open,classic,1,848,0.00348663330078125,62.0
42,open,residual_learned,1,179,0.028836488723754883,62.0
43,open,classic,1,787,0.0025129318237304688,62.0
43,open,residual_learned,1,166,0.0328977108001709,62.0
44,open,classic,1,841,0.003618001937866211,62.0
44,open,residual_learned,1,147,0.03318333625793457,62.0
45,open,classic,1,811,0.002781391143798828,62.0
45,open,residual_learned,1,151,0.028026103973388672,62.0
46,open,classic,1,776,0.002505064010620117,62.0
46,open,residual_learned,1,192,0.030870914459228516,62.0
47,open,classic,0,3,4.267692565917969e-05,inf
47,open,residual_learned,0,3,0.0003573894500732422,inf
48,open,classic,1,830,0.0025925636291503906,62.0
48,open,residual_learned,1,167,0.028986454010009766,62.0
49,open,classic,1,760,0.0032236576080322266,62.0
49,open,residual_learned,1,190,0.03210949897766113,62.0
50,open,classic,1,840,0.0029144287109375,62.0
50,open,residual_learned,1,161,0.028318166732788086,62.0
51,maze,classic,0,681,0.002161741256713867,inf
51,maze,residual_learned,0,681,0.08532905578613281,inf
52,maze,classic,1,367,0.0012099742889404297,66.0
52,maze,residual_learned,1,317,0.04701375961303711,66.0
53,maze,classic,0,691,0.002330303192138672,inf
53,maze,residual_learned,0,691,0.08678793907165527,inf
54,maze,classic,1,221,0.0006756782531738281,62.0
