instance_id,grid_size,method,success,expansions,runtime_sec,path_cost
1,32,classic,1,838,0.0036373138427734375,62.0
1,32,learned_direct,1,910,0.13894104957580566,62.0
1,32,learned_curriculum,1,693,0.11635851860046387,62.0
2,32,classic,1,746,0.0034799575805664062,62.0
2,32,learned_direct,1,921,0.11060786247253418,62.0
2,32,learned_curriculum,1,661,0.11613678932189941,62.0
3,32,classic,1,849,0.0033605098724365234,62.0
3,32,learned_direct,1,913,0.11765599250793457,62.0
3,32,learned_curriculum,1,707,0.13555908203125,62.0
4,32,classic,1,759,0.0046498775482177734,62.0
4,32,learned_direct,1,933,0.1352696418762207,62.0
4,32,learned_curriculum,1,629,0.10918593406677246,62.0
5,32,classic,1,677,0.002502918243408203,62.0
5,32,learned_direct,1,920,0.11869525909423828,62.0
5,32,learned_curriculum,1,562,0.11538052558898926,62.0
6,32,classic,1,764,0.004244565963745117,62.0
6,32,learned_direct,1,915,0.12577557563781738,62.0
6,32,learned_curriculum,1,638,0.10820579528808594,62.0
7,32,classic,1,893,0.003968238830566406,62.0
7,32,learned_direct,1,926,0.11235451698303223,62.0
7,32,learned_curriculum,1,730,0.1250443458557129,62.0
8,32,classic,1,805,0.0026252269744873047,62.0
8,32,learned_direct,1,913,0.10891318321228027,62.0
8,32,learned_curriculum,1,675,0.11435317993164062,62.0
9,32,classic,1,746,0.0029747486114501953,62.0
9,32,learned_direct,1,928,0.11134958267211914,62.0
9,32,learned_curriculum,1,628,0.10875272750854492,62.0
10,32,classic,1,770,0.002950906753540039,62.0
10,32,learned_direct,1,901,0.10999822616577148,62.0
10,32,learned_curriculum,1,652,0.11820626258850098,62.0
11,32,classic,0,1,7.3909759521484375e-06,inf
11,32,learned_direct,0,1,0.00013875961303710938,inf
11,32,learned_curriculum,0,1,0.00012373924255371094,inf
12,32,classic,1,786,0.0030074119567871094,62.0
12,32,learned_direct,1,911,0.11076760292053223,62.0
12,32,learned_curriculum,1,647,0.11481118202209473,62.0
13,32,classic,1,884,0.002888202667236328,62.0
13,32,learned_direct,1,925,0.11431527137756348,62.0
13,32,learned_curriculum,1,733,0.12118053436279297,62.0
