instance_id,method,fraction,success,expansions,runtime_sec,path_cost
1,classic,1.0,1,838,0.006165027618408203,62.0
1,learned_frac_10,0.1,1,103,0.024518966674804688,62.0
1,learned_frac_25,0.25,1,64,0.018393754959106445,62.0
1,learned_frac_50,0.5,1,67,0.019166231155395508,64.0
1,learned_frac_100,1.0,1,63,0.021413803100585938,62.0
2,classic,1.0,1,746,0.0037300586700439453,62.0
2,learned_frac_10,0.1,1,99,0.027022361755371094,62.0
2,learned_frac_25,0.25,1,65,0.019692182540893555,64.0
2,learned_frac_50,0.5,1,65,0.020583629608154297,64.0
2,learned_frac_100,1.0,1,65,0.019673824310302734,64.0
3,classic,1.0,1,849,0.004384279251098633,62.0
3,learned_frac_10,0.1,1,108,0.032356977462768555,68.0
3,learned_frac_25,0.25,1,70,0.016897201538085938,68.0
3,learned_frac_50,0.5,1,69,0.017693042755126953,68.0
3,learned_frac_100,1.0,1,69,0.019966840744018555,68.0
4,classic,1.0,1,759,0.005520820617675781,62.0
4,learned_frac_10,0.1,1,108,0.03491330146789551,64.0
4,learned_frac_25,0.25,1,67,0.02475571632385254,66.0
4,learned_frac_50,0.5,1,70,0.017433881759643555,66.0
4,learned_frac_100,1.0,1,67,0.02070307731628418,64.0
5,classic,1.0,1,677,0.004012346267700195,62.0
5,learned_frac_10,0.1,1,113,0.06958174705505371,66.0
5,learned_frac_25,0.25,1,71,0.07690238952636719,66.0
5,learned_frac_50,0.5,1,71,0.06293773651123047,66.0
5,learned_frac_100,1.0,1,70,0.01866912841796875,66.0
6,classic,1.0,1,764,0.0038721561431884766,62.0
6,learned_frac_10,0.1,1,101,0.0191953182220459,62.0
6,learned_frac_25,0.25,1,66,0.013509035110473633,64.0
6,learned_frac_50,0.5,1,68,0.019956588745117188,62.0
6,learned_frac_100,1.0,1,71,0.014449834823608398,66.0
7,classic,1.0,1,893,0.0029578208923339844,62.0
7,learned_frac_10,0.1,1,103,0.024199485778808594,62.0
7,learned_frac_25,0.25,1,73,0.023833513259887695,70.0
7,learned_frac_50,0.5,1,74,0.013221263885498047,70.0
7,learned_frac_100,1.0,1,67,0.02108168601989746,66.0
8,classic,1.0,1,805,0.0034465789794921875,62.0
8,learned_frac_10,0.1,1,114,0.021062850952148438,64.0
8,learned_frac_25,0.25,1,72,0.013196945190429688,68.0
8,learned_frac_50,0.5,1,69,0.01274418830871582,68.0
8,learned_frac_100,1.0,1,68,0.013160467147827148,66.0
9,classic,1.0,1,746,0.0024895668029785156,62.0
9,learned_frac_10,0.1,1,102,0.020264387130737305,62.0
9,learned_frac_25,0.25,1,68,0.013973712921142578,66.0
9,learned_frac_50,0.5,1,69,0.017185211181640625,66.0
9,learned_frac_100,1.0,1,65,0.013743877410888672,62.0
10,classic,1.0,1,770,0.0025594234466552734,62.0
10,learned_frac_10,0.1,1,113,0.020186424255371094,64.0
10,learned_frac_25,0.25,1,77,0.01225590705871582,72.0
10,learned_frac_50,0.5,1,76,0.011900186538696289,72.0
10,learned_frac_100,1.0,1,71,0.019855260848999023,70.0
11,classic,1.0,0,1,9.059906005859375e-06,inf
11,learned_frac_10,0.1,0,1,0.00013828277587890625,inf
11,learned_frac_25,0.25,0,1,0.00011920928955078125,inf
11,learned_frac_50,0.5,0,1,0.00011563301086425781,inf
11,learned_frac_100,1.0,0,1,0.00010824203491210938,inf
12,classic,1.0,1,786,0.0032262802124023438,62.0
12,learned_frac_10,0.1,1,109,0.018378496170043945,64.0
12,learned_frac_25,0.25,1,68,0.012115955352783203,66.0
12,learned_frac_50,0.5,1,68,0.017678022384643555,64.0
12,learned_frac_100,1.0,1,66,0.01316070556640625,64.0
13,classic,1.0,1,884,0.0032765865325927734,62.0
13,learned_frac_10,0.1,1,119,0.017138957977294922,66.0
13,learned_frac_25,0.25,1,78,0.012723207473754883,68.0
13,learned_frac_50,0.5,1,69,0.012328624725341797,68.0
13,learned_frac_100,1.0,1,75,0.01828932762145996,68.0
14,classic,1.0,1,746,0.002877950668334961,62.0
14,learned_frac_10,0.1,1,100,0.01875901222229004,64.0
14,learned_frac_25,0.25,1,70,0.01177668571472168,66.0
14,learned_frac_50,0.5,1,72,0.013007402420043945,68.0
14,learned_frac_100,1.0,1,68,0.013489961624145508,64.0
15,classic,1.0,1,740,0.0026578903198242188,62.0
15,learned_frac_10,0.1,1,111,0.02105093002319336,66.0
15,learned_frac_25,0.25,1,69,0.012531518936157227,66.0
15,learned_frac_50,0.5,1,71,0.011782169342041016,68.0
15,learned_frac_100,1.0,1,70,0.01431894302368164,66.0
16,classic,1.0,1,799,0.002588033676147461,62.0
16,learned_frac_10,0.1,1,115,0.020168066024780273,64.0
16,learned_frac_25,0.25,1,75,0.01703929901123047,68.0
16,learned_frac_50,0.5,1,73,0.014879941940307617,68.0
16,learned_frac_100,1.0,1,71,0.015339136123657227,66.0
17,classic,1.0,1,860,0.0041065216064453125,62.0
17,learned_frac_10,0.1,1,101,0.015764713287353516,64.0
17,learned_frac_25,0.25,1,65,0.010505914688110352,64.0
17,learned_frac_50,0.5,1,65,0.011065959930419922,64.0
17,learned_frac_100,1.0,1,65,0.01222681999206543,64.0
18,classic,1.0,1,856,0.0029096603393554688,62.0
18,learned_frac_10,0.1,1,104,0.016169071197509766,62.0
18,learned_frac_25,0.25,1,76,0.01357579231262207,72.0
18,learned_frac_50,0.5,1,74,0.013602733612060547,68.0
18,learned_frac_100,1.0,1,68,0.016541004180908203,64.0
19,classic,1.0,1,848,0.0029730796813964844,62.0
19,learned_frac_10,0.1,1,108,0.015404224395751953,64.0
19,learned_frac_25,0.25,1,69,0.011849164962768555,68.0
19,learned_frac_50,0.5,1,69,0.018772363662719727,68.0
19,learned_frac_100,1.0,1,67,0.014493703842163086,66.0
20,classic,1.0,1,799,0.003387451171875,62.0
20,learned_frac_10,0.1,1,98,0.015726327896118164,62.0
20,learned_frac_25,0.25,1,66,0.012795448303222656,64.0
20,learned_frac_50,0.5,1,66,0.012726783752441406,64.0
20,learned_frac_100,1.0,1,66,0.015427589416503906,62.0
21,classic,1.0,1,803,0.0025937557220458984,62.0
21,learned_frac_10,0.1,1,98,0.014883041381835938,62.0
21,learned_frac_25,0.25,1,65,0.010832548141479492,64.0
21,learned_frac_50,0.5,1,65,0.012241840362548828,64.0
21,learned_frac_100,1.0,1,65,0.012883901596069336,64.0
22,classic,1.0,1,877,0.002916097640991211,62.0
22,learned_frac_10,0.1,1,99,0.022104501724243164,64.0
22,learned_frac_25,0.25,1,67,0.014780759811401367,66.0
22,learned_frac_50,0.5,1,66,0.014740943908691406,64.0
22,learned_frac_100,1.0,1,66,0.013965606689453125,64.0
23,classic,1.0,1,770,0.0034885406494140625,62.0
23,learned_frac_10,0.1,1,123,0.023101091384887695,70.0
23,learned_frac_25,0.25,1,91,0.014242410659790039,74.0
23,learned_frac_50,0.5,1,85,0.01701498031616211,74.0
23,learned_frac_100,1.0,1,91,0.01889777183532715,72.0
24,classic,1.0,1,805,0.0026040077209472656,62.0
24,learned_frac_10,0.1,1,115,0.01651930809020996,64.0
24,learned_frac_25,0.25,1,75,0.01207876205444336,72.0
24,learned_frac_50,0.5,1,72,0.01427316665649414,68.0
24,learned_frac_100,1.0,1,73,0.016208648681640625,68.0
25,classic,1.0,1,819,0.002757549285888672,62.0
25,learned_frac_10,0.1,1,104,0.01434326171875,62.0
25,learned_frac_25,0.25,1,75,0.012290000915527344,70.0
25,learned_frac_50,0.5,1,70,0.016665935516357422,66.0
25,learned_frac_100,1.0,1,70,0.013870954513549805,68.0
26,classic,1.0,1,815,0.0027091503143310547,62.0
26,learned_frac_10,0.1,1,117,0.019453763961791992,64.0
26,learned_frac_25,0.25,1,75,0.01584911346435547,70.0
26,learned_frac_50,0.5,1,70,0.01925826072692871,66.0
26,learned_frac_100,1.0,1,72,0.014041423797607422,68.0
27,classic,1.0,1,883,0.0044748783111572266,62.0
27,learned_frac_10,0.1,1,103,0.02014923095703125,62.0
27,learned_frac_25,0.25,1,65,0.015303850173950195,64.0
27,learned_frac_50,0.5,1,65,0.01230764389038086,64.0
27,learned_frac_100,1.0,1,65,0.012189865112304688,64.0
28,classic,1.0,1,825,0.0026597976684570312,62.0
28,learned_frac_10,0.1,1,97,0.016240358352661133,64.0
28,learned_frac_25,0.25,1,69,0.01279306411743164,68.0
28,learned_frac_50,0.5,1,68,0.01478719711303711,66.0
28,learned_frac_100,1.0,1,70,0.012901782989501953,64.0
29,classic,1.0,1,773,0.0027832984924316406,62.0
29,learned_frac_10,0.1,1,105,0.015854835510253906,62.0
29,learned_frac_25,0.25,1,63,0.011991739273071289,62.0
29,learned_frac_50,0.5,1,63,0.011813163757324219,62.0
29,learned_frac_100,1.0,1,64,0.01192474365234375,62.0
30,classic,1.0,1,837,0.0028142929077148438,62.0
30,learned_frac_10,0.1,1,116,0.02011728286743164,68.0
30,learned_frac_25,0.25,1,91,0.031108856201171875,74.0
30,learned_frac_50,0.5,1,86,0.023093461990356445,70.0
30,learned_frac_100,1.0,1,82,0.016273975372314453,68.0
31,classic,1.0,1,846,0.0035767555236816406,62.0
31,learned_frac_10,0.1,1,125,0.026340246200561523,68.0
31,learned_frac_25,0.25,1,84,0.015907764434814453,74.0
31,learned_frac_50,0.5,1,79,0.014348745346069336,70.0
31,learned_frac_100,1.0,1,80,0.024590015411376953,70.0
32,classic,1.0,1,838,0.004737138748168945,62.0
32,learned_frac_10,0.1,1,101,0.021296024322509766,62.0
32,learned_frac_25,0.25,1,67,0.012624025344848633,66.0
32,learned_frac_50,0.5,1,65,0.012964487075805664,64.0
32,learned_frac_100,1.0,1,65,0.011480331420898438,64.0
33,classic,1.0,1,868,0.002696514129638672,62.0
33,learned_frac_10,0.1,1,93,0.016008377075195312,62.0
33,learned_frac_25,0.25,1,65,0.01510477066040039,64.0
33,learned_frac_50,0.5,1,65,0.012284994125366211,62.0
33,learned_frac_100,1.0,1,63,0.01254415512084961,62.0
34,classic,1.0,1,806,0.0035970211029052734,62.0
34,learned_frac_10,0.1,1,106,0.018587827682495117,64.0
34,learned_frac_25,0.25,1,64,0.012480020523071289,62.0
34,learned_frac_50,0.5,1,64,0.012247085571289062,62.0
34,learned_frac_100,1.0,1,66,0.012718915939331055,62.0
35,classic,1.0,1,709,0.0022885799407958984,62.0
35,learned_frac_10,0.1,1,95,0.0202329158782959,62.0
35,learned_frac_25,0.25,1,67,0.015299320220947266,66.0
35,learned_frac_50,0.5,1,66,0.011968374252319336,64.0
35,learned_frac_100,1.0,1,65,0.012069940567016602,62.0
36,classic,1.0,1,861,0.00278472900390625,62.0
36,learned_frac_10,0.1,1,107,0.01679825782775879,62.0
36,learned_frac_25,0.25,1,71,0.01272273063659668,68.0
36,learned_frac_50,0.5,1,69,0.015239953994750977,64.0
36,learned_frac_100,1.0,1,66,0.017673254013061523,62.0
37,classic,1.0,1,821,0.002736806869506836,62.0
37,learned_frac_10,0.1,1,105,0.015411853790283203,62.0
37,learned_frac_25,0.25,1,74,0.012159347534179688,68.0
37,learned_frac_50,0.5,1,67,0.011852264404296875,66.0
37,learned_frac_100,1.0,1,65,0.01519012451171875,64.0
38,classic,1.0,1,806,0.002582073211669922,62.0
38,learned_frac_10,0.1,1,95,0.01654505729675293,62.0
38,learned_frac_25,0.25,1,71,0.0684196949005127,68.0
38,learned_frac_50,0.5,1,68,0.06132054328918457,64.0
38,learned_frac_100,1.0,1,66,0.017478227615356445,64.0
39,classic,1.0,1,866,0.004477262496948242,62.0
39,learned_frac_10,0.1,1,102,0.020914316177368164,62.0
39,learned_frac_25,0.25,1,63,0.016033172607421875,62.0
39,learned_frac_50,0.5,1,63,0.012613534927368164,62.0
39,learned_frac_100,1.0,1,64,0.014194011688232422,62.0
40,classic,1.0,1,921,0.00471949577331543,62.0
40,learned_frac_10,0.1,1,107,0.023561954498291016,62.0
40,learned_frac_25,0.25,1,71,0.020063400268554688,66.0
40,learned_frac_50,0.5,1,63,0.011665821075439453,62.0
40,learned_frac_100,1.0,1,63,0.01905083656311035,62.0
41,classic,1.0,1,890,0.003011465072631836,62.0
41,learned_frac_10,0.1,1,105,0.016316890716552734,66.0
41,learned_frac_25,0.25,1,72,0.013709545135498047,70.0
41,learned_frac_50,0.5,1,72,0.01775217056274414,68.0
41,learned_frac_100,1.0,1,70,0.0173342227935791,68.0
42,classic,1.0,1,848,0.0028362274169921875,62.0
42,learned_frac_10,0.1,1,108,0.016227245330810547,62.0
42,learned_frac_25,0.25,1,66,0.013913154602050781,64.0
42,learned_frac_50,0.5,1,68,0.012669563293457031,66.0
42,learned_frac_100,1.0,1,65,0.013210296630859375,64.0
43,classic,1.0,1,787,0.002784252166748047,62.0
43,learned_frac_10,0.1,1,109,0.01602458953857422,62.0
43,learned_frac_25,0.25,1,65,0.012157678604125977,64.0
43,learned_frac_50,0.5,1,65,0.011768341064453125,64.0
43,learned_frac_100,1.0,1,66,0.012869834899902344,64.0
44,classic,1.0,1,841,0.0027408599853515625,62.0
44,learned_frac_10,0.1,1,108,0.016968727111816406,62.0
44,learned_frac_25,0.25,1,69,0.012032032012939453,68.0
44,learned_frac_50,0.5,1,69,0.019796133041381836,64.0
44,learned_frac_100,1.0,1,66,0.0157620906829834,64.0
45,classic,1.0,1,811,0.0029251575469970703,62.0
45,learned_frac_10,0.1,1,116,0.02386331558227539,66.0
45,learned_frac_25,0.25,1,71,0.01556253433227539,68.0
45,learned_frac_50,0.5,1,69,0.012093067169189453,68.0
45,learned_frac_100,1.0,1,70,0.01208806037902832,66.0
46,classic,1.0,1,776,0.0025920867919921875,62.0
46,learned_frac_10,0.1,1,118,0.018878936767578125,64.0
46,learned_frac_25,0.25,1,72,0.013134479522705078,68.0
46,learned_frac_50,0.5,1,73,0.012681961059570312,70.0
46,learned_frac_100,1.0,1,69,0.0127410888671875,66.0
47,classic,1.0,0,3,1.3113021850585938e-05,inf
47,learned_frac_10,0.1,0,3,0.00027751922607421875,inf
47,learned_frac_25,0.25,0,3,0.00028324127197265625,inf
47,learned_frac_50,0.5,0,3,0.00033855438232421875,inf
47,learned_frac_100,1.0,0,3,0.00025844573974609375,inf
48,classic,1.0,1,830,0.0026988983154296875,62.0
48,learned_frac_10,0.1,1,120,0.017950773239135742,66.0
48,learned_frac_25,0.25,1,67,0.0120086669921875,66.0
