run,oscillation,instability,goal_chasing,entropy_trap,failure,osc_state,osc_count,instability_ratio,goal_changes,mean_uncertainty
0,0,0,0,0,0,,,0.0,0,57.6
1,0,0,0,0,0,,,0.0,0,57.6
2,0,0,0,0,0,,,0.0,0,57.6
3,0,0,0,0,0,,,,0,57.599999999999994
4,0,0,0,0,0,,,0.0,0,57.6
5,0,0,0,0,0,,,0.0,0,57.6
6,0,0,0,0,0,,,0.0,0,57.6
7,0,0,0,0,0,,,0.0,0,57.6
8,0,0,0,0,0,,,0.0,0,57.6
9,0,0,0,0,0,,,0.0,0,57.6
10,0,0,0,0,0,,,0.0,0,57.6
11,0,0,0,0,0,,,0.0,0,57.6
12,0,0,0,0,0,,,0.0,0,57.6
13,0,0,0,0,0,,,0.0,0,57.6
14,0,0,0,0,0,,,0.0,0,57.6
15,0,0,0,0,0,,,0.0,0,57.6
16,0,0,0,0,0,,,0.0,0,57.6
17,0,0,0,0,0,,,,0,57.599999999999994
18,0,0,0,0,0,,,0.0,0,57.6
19,0,0,0,0,0,,,0.0,0,57.6
20,0,0,0,0,0,,,0.0,0,57.6
21,0,0,0,0,0,,,,0,57.599999999999994
22,0,0,0,0,0,,,,0,57.599999999999994
23,0,0,0,0,0,,,0.0,0,57.6
24,0,0,0,0,0,,,0.0,0,57.6
25,0,0,0,0,0,,,0.0,0,57.6
26,0,0,0,0,0,,,0.0,0,57.6
27,0,0,0,0,0,,,0.0,0,57.6
28,0,0,0,0,0,,,,0,57.599999999999994
29,0,0,0,0,0,,,0.0,0,57.6
