instance_id,grid_type,difficulty_classic_exp,exp_classic,cost_classic,exp_learned,cost_learned,speedup_learned,subopt_learned
7,open,893,893,62.0,251,62.0,3.557768924302789,1.0
13,open,884,884,62.0,229,62.0,3.8602620087336246,1.0
27,open,883,883,62.0,357,62.0,2.473389355742297,1.0
22,open,877,877,62.0,357,62.0,2.4565826330532214,1.0
33,open,868,868,62.0,289,62.0,3.0034602076124566,1.0
36,open,861,861,62.0,309,62.0,2.7864077669902914,1.0
17,open,860,860,62.0,311,62.0,2.765273311897106,1.0
18,open,856,856,62.0,328,62.0,2.6097560975609757,1.0
3,open,849,849,62.0,280,62.0,3.032142857142857,1.0
19,open,848,848,62.0,326,62.0,2.6012269938650308,1.0
