run,mode,success,expansions,path_cost
0,static,1,41,40.0
0,online,1,862,0
1,static,1,41,40.0
1,online,1,1071,42.0
2,static,1,41,40.0
2,online,1,860,40.0
3,static,1,41,40.0
3,online,1,957,40.0
4,static,1,41,40.0
4,online,1,975,42.0
5,static,1,41,40.0
5,online,1,847,0
6,static,1,41,40.0
6,online,1,843,0
7,static,1,41,40.0
7,online,1,1085,42.0
8,static,1,41,40.0
8,online,1,985,42.0
9,static,1,41,40.0
9,online,1,860,40.0
10,static,1,41,40.0
10,online,1,945,42.0
11,static,1,41,40.0
11,online,1,871,40.0
12,static,1,41,40.0
12,online,1,1173,44.0
13,static,1,41,40.0
13,online,1,1071,42.0
14,static,1,41,40.0
14,online,1,860,0
15,static,1,41,40.0
15,online,1,1075,42.0
16,static,1,41,40.0
16,online,1,860,40.0
17,static,1,41,40.0
17,online,1,866,40.0
18,static,1,41,40.0
18,online,1,877,0
19,static,1,41,40.0
19,online,1,908,40.0
20,static,1,41,40.0
20,online,1,1065,42.0
21,static,1,41,40.0
21,online,1,1029,42.0
22,static,1,41,40.0
22,online,1,1386,46.0
23,static,1,41,40.0
23,online,1,860,40.0
24,static,1,41,40.0
24,online,1,873,0
25,static,1,41,40.0
25,online,1,860,40.0
26,static,1,41,40.0
26,online,1,1723,48.0
27,static,1,41,40.0
27,online,1,1271,46.0
28,static,1,41,40.0
28,online,1,1071,42.0
29,static,1,41,40.0
29,online,1,890,40.0
